premium_type,premium_id,company_id,vehicle_type,vehicle_value_min_kes,vehicle_value_max_kes,age_min_years,age_max_years,comprehensive_rate_percent,comprehensive_min_premium_kes,third_party_premium_kes,excess_kes,notes
motor,MOT001,IRA001,Saloon Car,500000,1000000,0,5,3.5,25000,7500,20000,Standard rate
motor,MOT002,IRA001,Saloon Car,1000001,2000000,0,5,3.0,35000,7500,25000,Standard rate
motor,MOT003,IRA001,Saloon Car,2000001,5000000,0,5,2.5,60000,7500,35000,Standard rate
motor,MOT004,IRA001,SUV/4x4,1000000,3000000,0,5,3.2,45000,7500,30000,Standard rate
motor,MOT005,IRA001,SUV/4x4,3000001,8000000,0,5,2.8,96000,7500,50000,Standard rate
motor,MOT006,IRA001,Pickup/Truck,800000,2500000,0,5,3.0,35000,7500,25000,Standard rate
motor,MOT007,IRA001,Matatu (14-seater),1500000,3000000,0,5,4.0,60000,7500,40000,PSV rate
motor,MOT008,IRA001,Matatu (33-seater),2500000,5000000,0,5,4.5,112500,7500,50000,PSV rate
motor,MOT009,IRA001,Motorcycle,100000,500000,0,5,5.0,5000,5000,10000,Commercial use
motor,MOT010,IRA002,Saloon Car,500000,1000000,0,5,3.8,28000,7500,20000,Standard rate
motor,MOT011,IRA002,Saloon Car,1000001,2000000,0,5,3.2,40000,7500,25000,Standard rate
motor,MOT012,IRA002,Saloon Car,2000001,5000000,0,5,2.8,70000,7500,35000,Standard rate
motor,MOT013,IRA002,SUV/4x4,1000000,3000000,0,5,3.5,50000,7500,30000,Standard rate
motor,MOT014,IRA002,SUV/4x4,3000001,8000000,0,5,3.0,105000,7500,50000,Standard rate
motor,MOT015,IRA002,Pickup/Truck,800000,2500000,0,5,3.2,40000,7500,25000,Standard rate
motor,MOT016,IRA002,Matatu (14-seater),1500000,3000000,0,5,4.2,63000,7500,40000,PSV rate
motor,MOT017,IRA002,Matatu (33-seater),2500000,5000000,0,5,4.8,120000,7500,50000,PSV rate
motor,MOT018,IRA003,Saloon Car,500000,1000000,0,5,3.2,22000,7500,20000,Standard rate
motor,MOT019,IRA003,Saloon Car,1000001,2000000,0,5,2.8,32000,7500,25000,Standard rate
motor,MOT020,IRA003,Saloon Car,2000001,5000000,0,5,2.3,55000,7500,35000,Standard rate
motor,MOT021,IRA003,SUV/4x4,1000000,3000000,0,5,3.0,40000,7500,30000,Standard rate
motor,MOT022,IRA003,SUV/4x4,3000001,8000000,0,5,2.5,84000,7500,50000,Standard rate
motor,MOT023,IRA003,Pickup/Truck,800000,2500000,0,5,2.8,30000,7500,25000,Standard rate
motor,MOT024,IRA003,Matatu (14-seater),1500000,3000000,0,5,3.8,57000,7500,40000,PSV rate
motor,MOT025,IRA003,Matatu (33-seater),2500000,5000000,0,5,4.2,105000,7500,50000,PSV rate
motor,MOT026,IRA004,Saloon Car,500000,1000000,0,5,3.6,26000,7500,20000,Standard rate
motor,MOT027,IRA004,Saloon Car,1000001,2000000,0,5,3.1,38000,7500,25000,Standard rate
motor,MOT028,IRA004,Saloon Car,2000001,5000000,0,5,2.6,65000,7500,35000,Standard rate
motor,MOT029,IRA004,SUV/4x4,1000000,3000000,0,5,3.3,47000,7500,30000,Standard rate
motor,MOT030,IRA004,SUV/4x4,3000001,8000000,0,5,2.9,98000,7500,50000,Standard rate
motor,MOT031,IRA005,Saloon Car,500000,1000000,0,5,3.7,27000,7500,20000,Standard rate
motor,MOT032,IRA005,Saloon Car,1000001,2000000,0,5,3.1,42000,7500,25000,Standard rate
motor,MOT033,IRA005,Saloon Car,2000001,5000000,0,5,2.7,72000,7500,35000,Standard rate
motor,MOT034,IRA005,SUV/4x4,1000000,3000000,0,5,3.4,48000,7500,30000,Standard rate
motor,MOT035,IRA005,SUV/4x4,3000001,8000000,0,5,2.9,102000,7500,50000,Standard rate
motor,MOT036,IRA011,Saloon Car,500000,1000000,0,5,4.0,30000,7500,20000,International standard
motor,MOT037,IRA011,Saloon Car,1000001,2000000,0,5,3.5,45000,7500,25000,International standard
motor,MOT038,IRA011,SUV/4x4,1000000,3000000,0,5,3.8,55000,7500,30000,International standard
motor,MOT039,IRA022,Saloon Car,500000,1000000,0,5,2.8,18000,7500,20000,Budget option
motor,MOT040,IRA022,Saloon Car,1000001,2000000,0,5,2.3,28000,7500,25000,Budget option
motor,MOT041,IRA022,SUV/4x4,1000000,3000000,0,5,2.6,32000,7500,30000,Budget option

