product_id,company_id,product_name,category,sub_category,description,coverage_type,min_age,max_age,waiting_period_days,max_sum_insured_kes,premium_frequency,optional_riders,target_market,popular_rating
PROD001,IRA001,Jubilee Health Insurance,Health,Medical Cover,Comprehensive inpatient and outpatient medical cover,Inpatient/Outpatient,0,80,30,10000000,Monthly/Annual,Optical/Dental/Maternity,Individuals/Families,4.5
PROD002,IRA001,Jubilee Motor Comprehensive,Motor,Comprehensive,Full cover for private vehicles including theft and third party,Comprehensive,18,75,0,5000000,Annual,Excess Waiver/Personal Accident,Private Vehicle Owners,4.3
PROD003,IRA001,Jubilee Motor Third Party,Motor,Third Party,Legal liability cover for third party injury and property damage,Third Party Only,18,75,0,5000000,Annual,None,Private Vehicle Owners,4.0
PROD004,IRA001,Jubilee Life Assurance,Life,Term Life,Financial protection for family in case of death,Death Benefit,18,65,0,50000000,Monthly/Annual/Quarterly,Critical Illness/Disability,Income Earners,4.4
PROD005,IRA001,Jubilee Education Policy,Life,Education,Save for children's education with life cover,Endowment/Savings,0,18,0,5000000,Monthly/Annual,None,Parents,4.2
PROD006,IRA002,Britam Medical Insurance,Health,Medical Cover,Comprehensive health insurance for individuals and families,Inpatient/Outpatient,0,80,30,15000000,Monthly/Annual,Optical/Dental/Maternity/Wellness,Individuals/Corporate,4.6
PROD007,IRA002,Britam Motor Comprehensive,Motor,Comprehensive,All-risk motor insurance for private and commercial vehicles,Comprehensive,18,75,0,10000000,Annual,Excess Waiver/Entertainment Unit,Vehicle Owners,4.4
PROD008,IRA002,Britam Third Party Motor,Motor,Third Party,Mandatory third party liability cover,Third Party Only,18,75,0,5000000,Annual,None,All Vehicle Owners,4.1
PROD009,IRA002,Britam Life Cover,Life,Term Life,Protection against death with optional critical illness rider,Death Benefit,18,70,0,100000000,Monthly/Annual/Quarterly,Critical Illness/TPD,All Adults,4.5
PROD010,IRA002,Britam Pension Plan,Life,Retirement,Retirement savings with guaranteed returns,Pension/Annuity,18,65,0,999999999,Monthly/Annual,None,Employed/Self-employed,4.3
PROD011,IRA003,CIC Health Insurance,Health,Medical Cover,Affordable health cover with wide hospital network,Inpatient/Outpatient,0,80,30,8000000,Monthly/Annual,Optical/Dental/Maternity,Individuals/Families,4.2
PROD012,IRA003,CIC Motor Private Comprehensive,Motor,Comprehensive,Comprehensive cover for private cars,Comprehensive,18,75,0,5000000,Annual,Excess Waiver/Personal Effects,Private Car Owners,4.1
PROD013,IRA003,CIC Motor Commercial Comprehensive,Motor,Comprehensive,Comprehensive cover for commercial vehicles,Comprehensive,18,75,0,15000000,Annual,Goods in Transit/Public Liability,Commercial Vehicle Owners,4.0
PROD014,IRA003,CIC Third Party Motor,Motor,Third Party,Basic third party liability cover,Third Party Only,18,75,0,5000000,Annual,None,All Vehicle Owners,3.9
